date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:53	104303/104303	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/blog-image/5.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/blog-image/5.jpg	(from https://www.swedstrust.com/)
13:35:53	130607/130607	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/blog-image/2.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/blog-image/2.jpg	(from https://www.swedstrust.com/)
13:35:53	118344/118344	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/blog-image/6.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/blog-image/6.jpg	(from https://www.swedstrust.com/)
13:35:53	89380/89380	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/blog-image/7.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/blog-image/7.jpg	(from https://www.swedstrust.com/)
13:35:54	108518/108518	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/featured-services-image/1.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/featured-services-image/1.jpg	(from https://www.swedstrust.com/)
13:35:54	1285/1285	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/icon1.png	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/icon1.png	(from https://www.swedstrust.com/)
13:35:55	4673/4673	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/umbrella.png	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/umbrella.png	(from https://www.swedstrust.com/)
13:35:55	87737/87737	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/blog-image/8.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/blog-image/8.jpg	(from https://www.swedstrust.com/)
13:35:55	89037/89037	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/featured-services-image/2.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/featured-services-image/2.jpg	(from https://www.swedstrust.com/)
13:35:55	1363/1363	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/icon2.png	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/icon2.png	(from https://www.swedstrust.com/)
13:35:56	1431/1431	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/icon3.png	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/icon3.png	(from https://www.swedstrust.com/)
13:35:57	87147/87147	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/featured-services-image/3.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/featured-services-image/3.jpg	(from https://www.swedstrust.com/)
